,縣市名,地區名,公車站牌數,地區土地面積(平方公里),公車站牌密度(站/平方公里)
313,屏東縣,長治鄉,0,39.8861,0.0
314,屏東縣,麟洛鄉,4,16.26,0.25
315,屏東縣,竹田鄉,18,29.0732,0.62
316,屏東縣,內埔鄉,47,81.8554,0.57
317,屏東縣,萬丹鄉,0,57.4679,0.0
318,屏東縣,潮州鎮,1,42.4331,0.02
319,屏東縣,泰武鄉,0,118.6266,0.0
320,屏東縣,來義鄉,0,167.7756,0.0
321,屏東縣,萬巒鄉,0,60.7315,0.0
322,屏東縣,崁頂鄉,0,31.2659,0.0
323,屏東縣,新埤鄉,0,59.0102,0.0
324,屏東縣,南州鄉,0,18.97,0.0
325,屏東縣,林邊鄉,2,15.6233,0.13
326,屏東縣,東港鎮,9,29.4635,0.31
327,屏東縣,琉球鄉,22,6.8018,3.23
328,屏東縣,佳冬鄉,0,30.9842,0.0
329,屏東縣,新園鄉,0,38.3109,0.0
330,屏東縣,枋寮鄉,0,57.7347,0.0
331,屏東縣,枋山鄉,0,17.2697,0.0
332,屏東縣,春日鄉,0,160.001,0.0
333,屏東縣,獅子鄉,0,301.0018,0.0
334,屏東縣,車城鄉,30,49.8517,0.6
335,屏東縣,牡丹鄉,23,181.8366,0.13
336,屏東縣,恆春鎮,169,136.763,1.24
337,屏東縣,滿州鄉,59,142.2013,0.41
338,臺東縣,臺東市,68,109.7691,0.62
339,臺東縣,綠島鄉,0,15.0919,0.0
340,臺東縣,蘭嶼鄉,0,48.3892,0.0
341,臺東縣,延平鄉,0,455.8805,0.0
342,臺東縣,卑南鄉,0,412.6871,0.0
343,臺東縣,鹿野鄉,0,89.698,0.0
344,臺東縣,關山鎮,0,58.7351,0.0
345,臺東縣,海端鄉,0,880.0382,0.0
346,臺東縣,池上鄉,0,82.6854,0.0
347,臺東縣,東河鄉,0,210.1908,0.0
348,臺東縣,成功鎮,0,143.9939,0.0
349,臺東縣,長濱鄉,0,155.1868,0.0
350,臺東縣,金峰鄉,0,380.6635,0.0
351,臺東縣,大武鄉,0,69.1454,0.0
352,臺東縣,達仁鄉,0,306.4454,0.0
353,花蓮縣,花蓮市,79,29.4095,2.69
354,花蓮縣,新城鄉,5,29.4095,0.17
355,花蓮縣,秀林鄉,23,1641.8555,0.01
356,花蓮縣,吉安鄉,22,65.2582,0.34
357,花蓮縣,壽豐鄉,17,218.4448,0.08
358,花蓮縣,鳳林鎮,4,120.5181,0.03
359,花蓮縣,光復鄉,3,157.11,0.02
360,花蓮縣,豐濱鄉,7,162.4332,0.04
361,花蓮縣,瑞穗鄉,0,135.5862,0.0
362,花蓮縣,萬榮鄉,0,618.491,0.0
363,花蓮縣,玉里鎮,0,252.3719,0.0
364,花蓮縣,卓溪鄉,0,1021.313,0.0
365,花蓮縣,富里鄉,0,176.3705,0.0
