,縣市,地區,costco家數,頂好家數,全聯家數
134,彰化縣,員林鎮,0.0,0.0,4.0
135,彰化縣,埔心鄉,0.0,0.0,1.0
136,彰化縣,彰化市,0.0,0.0,9.0
137,彰化縣,永靖鄉,0.0,0.0,1.0
138,彰化縣,溪州鄉,0.0,0.0,1.0
139,彰化縣,溪湖鎮,0.0,0.0,2.0
140,彰化縣,田中鎮,0.0,0.0,2.0
141,彰化縣,社頭鄉,0.0,0.0,1.0
142,彰化縣,福興鄉,0.0,0.0,1.0
143,彰化縣,秀水鄉,0.0,0.0,1.0
144,彰化縣,竹塘鄉,0.0,0.0,1.0
145,彰化縣,芬園鄉,0.0,0.0,1.0
146,彰化縣,花壇鄉,0.0,0.0,1.0
147,彰化縣,鹿港鎮,0.0,0.0,3.0
148,新北市,三峽區,0.0,2.0,5.0
149,新北市,三重區,0.0,7.0,11.0
150,新北市,中和區,1.0,7.0,11.0
151,新北市,五股區,0.0,4.0,2.0
152,新北市,土城區,0.0,3.0,5.0
153,新北市,新店區,0.0,8.0,9.0
154,新北市,新莊區,1.0,10.0,13.0
155,新北市,板橋區,0.0,5.0,14.0
156,新北市,林口區,0.0,3.0,1.0
157,新北市,樹林區,0.0,3.0,3.0
158,新北市,永和區,0.0,6.0,6.0
159,新北市,汐止區,1.0,6.0,7.0
160,新北市,泰山區,0.0,1.0,5.0
161,新北市,淡水區,0.0,4.0,4.0
162,新北市,深坑區,0.0,1.0,1.0
163,新北市,瑞芳區,0.0,1.0,1.0
164,新北市,蘆洲區,0.0,6.0,8.0
165,新北市,金山區,0.0,0.0,1.0
166,新北市,鶯歌區,0.0,0.0,1.0
167,新竹市,北區,0.0,0.0,1.0
168,新竹市,北區,0.0,0.0,1.0
169,新竹市,東區,0.0,0.0,1.0
170,新竹市,東區,0.0,0.0,1.0
171,新竹市,東區,0.0,0.0,1.0
172,新竹市,東區,0.0,1.0,1.0
173,新竹市,東區,0.0,1.0,1.0
174,新竹縣,新豐鄉,0.0,1.0,1.0
175,新竹縣,湖口鄉,0.0,0.0,3.0
176,新竹縣,竹北市,0.0,9.0,4.0
177,新竹縣,竹東鎮,0.0,1.0,1.0
178,桃園縣,中壢市,0.0,0.0,9.0
179,桃園縣,八德市,0.0,0.0,2.0
180,桃園縣,大園鄉,0.0,0.0,1.0
181,桃園縣,大溪鎮,0.0,0.0,2.0
182,桃園縣,平鎮市,0.0,0.0,4.0
183,桃園縣,新屋鄉,0.0,0.0,1.0
184,桃園縣,桃園市,0.0,0.0,12.0
185,桃園縣,楊梅市,0.0,0.0,3.0
186,桃園縣,蘆竹鄉,0.0,0.0,5.0
187,桃園縣,龍潭鄉,0.0,0.0,3.0
188,桃園縣,龜山鄉,0.0,0.0,3.0
189,澎湖縣,馬公市,0.0,0.0,3.0
190,花蓮縣,光復鄉,0.0,0.0,1.0
191,花蓮縣,吉安鄉,0.0,0.0,3.0
192,花蓮縣,玉里鎮,0.0,0.0,2.0
193,花蓮縣,花蓮市,0.0,0.0,4.0
194,花蓮縣,鳳林鎮,0.0,0.0,1.0
195,苗栗縣,公館鄉,0.0,0.0,1.0
196,苗栗縣,卓蘭鎮,0.0,0.0,1.0
197,苗栗縣,後龍鎮,0.0,1.0,1.0
198,苗栗縣,竹南鎮,0.0,1.0,3.0
199,苗栗縣,苑裡鎮,0.0,0.0,1.0
200,苗栗縣,苗栗市,0.0,2.0,3.0
201,苗栗縣,通霄鎮,0.0,0.0,1.0
202,苗栗縣,頭份鎮,0.0,1.0,2.0
203,雲林縣,北港鎮,0.0,0.0,2.0
204,雲林縣,古坑鄉,0.0,0.0,1.0
205,雲林縣,土庫鎮,0.0,0.0,1.0
206,雲林縣,崙背鄉,0.0,0.0,1.0
207,雲林縣,斗六市,0.0,0.0,5.0
208,雲林縣,斗南鎮,0.0,0.0,2.0
209,雲林縣,莿桐鄉,0.0,0.0,1.0
210,雲林縣,虎尾鎮,0.0,0.0,3.0
211,雲林縣,西螺鎮,0.0,0.0,2.0
212,雲林縣,麥寮鄉,0.0,0.0,1.0
213,高雄市,三民區,0.0,1.0,10.0
214,高雄市,仁武區,0.0,0.0,3.0
215,高雄市,前金區,0.0,0.0,2.0
216,高雄市,前鎮區,1.0,0.0,6.0
217,高雄市,大寮區,0.0,0.0,2.0
218,高雄市,大社區,0.0,0.0,1.0
219,高雄市,小港區,0.0,0.0,4.0
220,高雄市,岡山區,0.0,0.0,2.0
221,高雄市,左營區,0.0,1.0,10.0
222,高雄市,新興區,0.0,0.0,2.0
223,高雄市,旗山區,0.0,0.0,1.0
224,高雄市,林園區,0.0,0.0,2.0
225,高雄市,梓官區,0.0,0.0,1.0
226,高雄市,楠梓區,0.0,0.0,4.0
227,高雄市,橋頭區,0.0,0.0,1.0
228,高雄市,燕巢區,0.0,0.0,1.0
229,高雄市,美濃區,0.0,0.0,1.0
230,高雄市,苓雅區,0.0,1.0,6.0
231,高雄市,路竹區,0.0,0.0,1.0
232,高雄市,阿蓮區,0.0,0.0,1.0
233,高雄市,鳳山區,0.0,0.0,8.0
234,高雄市,鼓山區,1.0,3.0,3.0
235,台中市,南區,0.0,1.0,0.0
236,台北市,忠孝東,0.0,1.0,0.0
237,台南市,南區,0.0,1.0,0.0
238,嘉義市,西區,0.0,1.0,0.0
239,嘉義市,西區,0.0,1.0,0.0
240,基隆市,暖暖區,0.0,1.0,0.0
241,新北市,三芝區,0.0,1.0,0.0
242,新竹市,北區,0.0,1.0,0.0
243,新竹市,北區,0.0,1.0,0.0
244,新竹市,東區,0.0,1.0,0.0
245,新竹市,東區,0.0,1.0,0.0
246,新竹市,東區,0.0,1.0,0.0
247,新竹市,東區,0.0,1.0,0.0
248,新竹市,東區,0.0,1.0,0.0
249,新竹縣,關西鎮,0.0,1.0,0.0
250,桃園市,中壢區,1.0,4.0,0.0
251,桃園市,八德區,0.0,1.0,0.0
252,桃園市,大園區,0.0,1.0,0.0
253,桃園市,大溪區,0.0,1.0,0.0
254,桃園市,平鎮區,0.0,3.0,0.0
255,桃園市,桃園區,1.0,13.0,0.0
256,桃園市,楊梅區,0.0,1.0,0.0
257,桃園市,蘆竹區,1.0,4.0,0.0
258,桃園市,龜山區,0.0,5.0,0.0
259,新竹市,東區,1.0,0.0,0.0
